70  	dumb-all                      	0.1.0
58  	crc32fast                     	1.2.0	git+https://github.com/mesalock-linux/rust-crc32fast-sgx#ce0c68c84246bff5637b957bfcb755f6af48e762
152 	rle-decode-fast               	1.0.2-alpha.0	git+https://github.com/mesalock-linux/rle-decode-helper-sgx#ab224e7be764f0caa5e0f1902afd14a22cfe7f01
178 	take_mut                      	0.2.2	git+https://github.com/mesalock-linux/take_mut-sgx#e1832de102a05217117e90d7b1a966461ed16946
116 	linked-hash-map               	0.5.2	git+https://github.com/mesalock-linux/linked-hash-map-sgx#4a7931eb61ce0251868f4a7d4ec3ac7c609a4893
228 	serde_test                    	1.0.105	git+https://github.com/mesalock-linux/serde-sgx#ef8226dfcaf5b704cd7db8ac6969dfd02b177572
119 	magma                         	0.3.0	git+https://github.com/mesalock-linux/rustcrypto-block-ciphers-sgx#5ec475fa4d8598baabc97ea28f47b9b8cb16e049
121 	md-5                          	0.8.0	git+https://github.com/mesalock-linux/rustcrypto-hashes-sgx#0a5d344146b0b7a4ff3bebf632aee6f7a5a85e1f
122 	md2                           	0.8.0	git+https://github.com/mesalock-linux/rustcrypto-hashes-sgx#0a5d344146b0b7a4ff3bebf632aee6f7a5a85e1f
123 	md4                           	0.8.0	git+https://github.com/mesalock-linux/rustcrypto-hashes-sgx#0a5d344146b0b7a4ff3bebf632aee6f7a5a85e1f
126 	mio                           	0.6.21	git+https://github.com/mesalock-linux/mio-sgx?branch=v0.6_sgx_1.1.1#557906a326a0e2a0381fc34e9dc9cdbafa0239ba
104 	iovec                         	0.2.0	git+https://github.com/mesalock-linux/iovec-sgx#c10fd6d9c14208ac412018cd33dab9e4db9c5fec
128 	net2                          	0.2.33	git+https://github.com/mesalock-linux/net2-rs-sgx#6bbb902cf69bc3d0e14cd489b4b7da1b4e3e74f3
173 	slab                          	0.4.2	git+https://github.com/mesalock-linux/slab-sgx#0780ba03c7723955725cc28ed6684ee964a26934
127 	ndarray                       	0.13.0	git+https://github.com/mesalock-linux/ndarray-sgx#1fbd5ad14bd89cf587f96df0eee496010f164b26
134 	ofb                           	0.1.1	git+https://github.com/mesalock-linux/rustcrypto-stream-ciphers-sgx#76b54bf18c116e9e9fa43938ad7b3fe914b683e8
135 	parity-scale-codec            	1.1.2	git+https://github.com/mesalock-linux/parity-scale-codec-sgx#ba1ead739e16bd926f3a1389adea9a9e6c185198
17  	arrayvec                      	0.5.1	registry+https://github.com/rust-lang/crates.io-index
26  	bitvec                        	0.17.2	git+https://github.com/mesalock-linux/bitvec-sgx#a265b232c4cfd038240b3fd8d95205aa38d1e13f
27  	either                        	1.5.3	registry+https://github.com/rust-lang/crates.io-index
28  	radium                        	0.3.0	registry+https://github.com/rust-lang/crates.io-index
40  	byte-slice-cast               	0.3.5	git+https://github.com/mesalock-linux/byte-slice-cast-sgx#8b4cdd33e76c6023b9db7800870cd613eaf2fba9
136 	parity-scale-codec-derive     	1.1.1	git+https://github.com/mesalock-linux/parity-scale-codec-sgx#ba1ead739e16bd926f3a1389adea9a9e6c185198
234 	proc-macro-crate              	0.1.4	registry+https://github.com/rust-lang/crates.io-index
235 	toml                          	0.5.6	git+https://github.com/mesalock-linux/toml-rs-sgx#a6a559ec758c2d4bf3235aaece265b10300ccbcc
140 	prost                         	0.6.1	git+https://github.com/mesalock-linux/prost-sgx#7023de5c4de134e969c42abadbf4a92c52d6ab29
41  	bytes                         	0.5.4	git+https://github.com/mesalock-linux/bytes-sgx#9d264a09c1d9d97db6d1e8426ba0dafce63e8b6f
142 	protobuf                      	2.8.1	git+https://github.com/mesalock-linux/rust-protobuf-sgx?branch=v2.8#7ba45837e7d8322e48b84f151e2d5a164921120d
144 	quickcheck                    	0.8.5	git+https://github.com/mesalock-linux/quickcheck-sgx#3a7c267609708b013793e5fc1146ef1b5a485ed5
73  	env_logger                    	0.7.1	git+https://github.com/mesalock-linux/env_logger-sgx#ca9be302e3744d5ca3dcabefeca0efe65ebd94f1
97  	humantime                     	1.3.0	git+https://github.com/mesalock-linux/humantime-sgx#b261520acda133ce5b682735ddcd4e95cd34ed67
143 	quick-error                   	1.2.2	git+https://github.com/mesalock-linux/quick-error-sgx#0d5e290435db03d57c325fb3619b9d39c911d3f3
148 	regex                         	1.3.1	git+https://github.com/mesalock-linux/regex-sgx#9a3e9ada88a91b29b1ea9c2180a76158490461c5
12  	aho-corasick                  	0.7.6	git+https://github.com/mesalock-linux/aho-corasick-sgx#65dcfcb4b98ed197ec5e0c6f2eaf52a1f100a6af
13  	memchr                        	2.2.1	git+https://github.com/mesalock-linux/rust-memchr-sgx#7c09a9d7c5cf495762d3d52d2b9efee51cefabb5
246 	regex-syntax                  	0.6.12	git+https://github.com/mesalock-linux/regex-sgx#9a3e9ada88a91b29b1ea9c2180a76158490461c5
182 	thread_local                  	1.0.0	git+https://github.com/mesalock-linux/thread_local-rs-sgx#2efa86b11bf6e88d7271c4d8484fd460ac4b46bc
179 	termcolor                     	1.0.5	git+https://github.com/mesalock-linux/termcolor-sgx#3cf5aa400d99551aa24bfb56727968a7ddfb703a
146 	rc2                           	0.3.0	git+https://github.com/mesalock-linux/rustcrypto-block-ciphers-sgx#5ec475fa4d8598baabc97ea28f47b9b8cb16e049
151 	ripemd320                     	0.8.0	git+https://github.com/mesalock-linux/rustcrypto-hashes-sgx#0a5d344146b0b7a4ff3bebf632aee6f7a5a85e1f
153 	rsa                           	0.2.0	git+https://github.com/mesalock-linux/rustcrypto-RSA-sgx#d062f1dbc83532f57167ca8db4f331a3b5f1dfc0
130 	num-bigint-dig                	0.6.0	git+https://github.com/mesalock-linux/num-bigint-sgx?branch=dig#56d5dc0d5fc59dc1a4909ea8c6508013638fa355
227 	libm                          	0.2.1	registry+https://github.com/rust-lang/crates.io-index
233 	zeroize                       	1.1.0	registry+https://github.com/rust-lang/crates.io-index
267 	zeroize_derive                	1.0.0	registry+https://github.com/rust-lang/crates.io-index
211 	synstructure                  	0.12.3	registry+https://github.com/rust-lang/crates.io-index
155 	rust-base58                   	0.0.4	git+https://github.com/mesalock-linux/rust-base58-sgx#7898a446dbf95bcfcbbb6a8346de0626a505b96c
156 	rust-crypto                   	0.2.36	git+https://github.com/mesalock-linux/rust-crypto-sgx#e5dd302ad593416bf58273eae921e6f41100443c
157 	rustc-serialize               	0.3.24	git+https://github.com/mesalock-linux/rustc-serialize-sgx#f85c1722817952fbcacf38315d50d75005abde97
159 	rusty-leveldb                 	0.3.0	git+https://github.com/mesalock-linux/rusty_leveldb_sgx?branch=sgx#4042b152d319e3ec3ba67f33af0a3f34fe652005
57  	crc                           	2.0.0	git+https://github.com/mesalock-linux/crc-rs-sgx#86696be09b7605d27327bbe659ac6c0e990c267f
102 	integer-encoding              	1.0.7	git+https://github.com/mesalock-linux/integer-encoding-rs-sgx#57c52f85cd6726e01b7642b45db37c4fe64ff805
141 	protected_fs_rs               	0.0.1	git+https://github.com/mesalock-linux/protected_fs_rs#f6acb1ba6b6611acc4b600fc886c5878ed82722a
226 	libc                          	0.2.66	git+https://github.com/mesalock-linux/libc-sgx#b718c0bdf0cf197645595867e06915811fcda207
147 	rdrand                        	0.6.0	git+https://github.com/mesalock-linux/rust_rdrand-sgx#1a235c6324e9f76b2dbd494a5832f2bc9188ae61
237 	rand_core                     	0.4.2	registry+https://github.com/rust-lang/crates.io-index
175 	snap                          	0.2.5	git+https://github.com/mesalock-linux/rust-snappy-sgx#52673ebcdf0d06f7db45788fc300d8b74ee4fd2f
160 	rusty-machine                 	0.5.4	git+https://github.com/mesalock-linux/rusty-machine-sgx#2efbc4ac4789cabd81e32bf7cd570288985dbd6a
154 	rulinalg                      	0.4.2	git+https://github.com/mesalock-linux/rulinalg-sgx#a0af6ea27149490a2d91711209c54865190948d6
120 	matrixmultiply                	0.2.3	git+https://github.com/mesalock-linux/matrixmultiply-sgx#49cbffe98e5872c12be49784bd52ebc9300cfda5
229 	rawpointer                    	0.2.1	registry+https://github.com/rust-lang/crates.io-index
129 	num                           	0.2.0	git+https://github.com/mesalock-linux/num-sgx#22645415542cc67551890dfdd34f4d5638b9ec78
131 	num-complex                   	0.2.3	git+https://github.com/mesalock-linux/num-complex-sgx#4e12f450a5eb2a3a86d6a4987b26e940e1d75c36
132 	num-iter                      	0.1.39	git+https://github.com/mesalock-linux/num-iter-sgx#cfcdb0fff55b81441409c25b5a0644772a603519
161 	salsa20                       	0.3.0	git+https://github.com/mesalock-linux/rustcrypto-stream-ciphers-sgx#76b54bf18c116e9e9fa43938ad7b3fe914b683e8
50  	salsa20-core                  	0.2.3	git+https://github.com/mesalock-linux/rustcrypto-stream-ciphers-sgx#76b54bf18c116e9e9fa43938ad7b3fe914b683e8
163 	serde-big-array               	0.1.5	git+https://github.com/mesalock-linux/serde-big-array-sgx#e23aa4421329f727cc26b775a06723d3380591ee
164 	serde_bytes                   	0.11.2	git+https://github.com/mesalock-linux/serde-bytes-sgx#a94fe7794935b69ffa74d3a10fd308b85e24ddb8
165 	serde_cbor                    	0.11.1	git+https://github.com/mesalock-linux/cbor-sgx#0b64ceeab19602e30b68e0c82cf7448ee196a7f3
217 	half                          	1.5.0	registry+https://github.com/rust-lang/crates.io-index
168 	sha-1                         	0.8.1	git+https://github.com/mesalock-linux/rustcrypto-hashes-sgx#0a5d344146b0b7a4ff3bebf632aee6f7a5a85e1f
172 	skein-hash                    	0.3.0	git+https://github.com/mesalock-linux/cryptocorrosion-sgx#7c8ed8d1646c693b58870281ec0b74fc0a3014f0
184 	threefish-cipher              	0.3.1	git+https://github.com/mesalock-linux/cryptocorrosion-sgx#7c8ed8d1646c693b58870281ec0b74fc0a3014f0
176 	sputnikvm                     	0.10.1	git+https://github.com/mesalock-linux/sputnikvm-sgx#ca40c30d79642d230da6442b921b78c7b1ce7f8d
76  	etcommon-block                	0.5.1	git+https://github.com/mesalock-linux/etcommon-rs-sgx#651e8ca6c7ccbfb47513231f1c20d18e7ee12a44
77  	etcommon-block-core           	0.3.0	git+https://github.com/mesalock-linux/etcommon-rs-sgx#651e8ca6c7ccbfb47513231f1c20d18e7ee12a44
78  	etcommon-bloom                	0.2.1	git+https://github.com/mesalock-linux/etcommon-rs-sgx#651e8ca6c7ccbfb47513231f1c20d18e7ee12a44
81  	etcommon-trie                 	0.4.0	git+https://github.com/mesalock-linux/etcommon-rs-sgx#651e8ca6c7ccbfb47513231f1c20d18e7ee12a44
75  	etcommon-bigint               	0.2.10	git+https://github.com/mesalock-linux/etcommon-rs-sgx#651e8ca6c7ccbfb47513231f1c20d18e7ee12a44
80  	etcommon-rlp                  	0.2.4	git+https://github.com/mesalock-linux/etcommon-rs-sgx#651e8ca6c7ccbfb47513231f1c20d18e7ee12a44
71  	elastic-array                 	0.10.3	git+https://github.com/mesalock-linux/elastic-array-sgx#56679916c1ba6565ea85f5487b7bd78868d4f820
90  	heapsize                      	0.4.2	git+https://github.com/mesalock-linux/heapsize-sgx#5d9370f245fad3e518e021309c41749dbfaa7310
79  	etcommon-hexutil              	0.2.4	git+https://github.com/mesalock-linux/etcommon-rs-sgx#651e8ca6c7ccbfb47513231f1c20d18e7ee12a44
171 	sha3                          	0.8.2	git+https://github.com/mesalock-linux/rustcrypto-hashes-sgx#0a5d344146b0b7a4ff3bebf632aee6f7a5a85e1f
223 	keccak                        	0.1.0	registry+https://github.com/rust-lang/crates.io-index
115 	libsecp256k1                  	0.3.5	git+https://github.com/mesalock-linux/libsecp256k1-rs-sgx#7e05663f4abc8015d21f1ce07bf77e377570e983
16  	arrayref                      	0.3.6	registry+https://github.com/rust-lang/crates.io-index
59  	crunchy                       	0.2.2	registry+https://github.com/rust-lang/crates.io-index
94  	hmac-drbg                     	0.1.2	git+https://github.com/mesalock-linux/hmac-drbg-rs-sgx#04955a88d7aa3b4446a57a99a0d9fc9d9e7bb1bb
93  	hmac                          	0.7.1	git+https://github.com/mesalock-linux/rustcrypto-MACs-sgx#7633da10118c46e561005a61cb3d4b9058605464
35  	crypto-mac                    	0.8.0	git+https://github.com/mesalock-linux/rustcrypto-traits-sgx#71e214d9b8d6fe41f1f549374b5ba561d60b82a3
170 	sha2                          	0.8.0	git+https://github.com/mesalock-linux/rustcrypto-hashes-sgx#0a5d344146b0b7a4ff3bebf632aee6f7a5a85e1f
212 	fake-simd                     	0.1.2	registry+https://github.com/rust-lang/crates.io-index
117 	log                           	0.4.10	git+https://github.com/mesalock-linux/log-sgx#d4ff761c1f92d5a4650fe0ee6e75f203594923ca
150 	ripemd160                     	0.8.0	git+https://github.com/mesalock-linux/rustcrypto-hashes-sgx#0a5d344146b0b7a4ff3bebf632aee6f7a5a85e1f
177 	streebog                      	0.8.0	git+https://github.com/mesalock-linux/rustcrypto-hashes-sgx#0a5d344146b0b7a4ff3bebf632aee6f7a5a85e1f
180 	thiserror                     	1.0.9	git+https://github.com/mesalock-linux/thiserror-sgx#b9eaa8acdc0921b556b798f162fad918bc01015b
262 	thiserror-impl                	1.0.9	git+https://github.com/mesalock-linux/thiserror-sgx#b9eaa8acdc0921b556b798f162fad918bc01015b
181 	thread-id                     	3.3.0	git+https://github.com/mesalock-linux/thread-id-sgx#8c6846bd610bd6230ae8de60821155a2da3a2512
183 	threadpool                    	1.8.0	git+https://github.com/mesalock-linux/rust-threadpool-sgx#61026c5bd67b38671c8bd5a2f4cfe09b007e5413
185 	threshold-secret-sharing      	0.2.3-pre	git+https://github.com/mesalock-linux/rust-threshold-secret-sharing-sgx#47e8cab3b3a6b2c1fe19e94a0327943fe22d8f5e
206 	sgx_rand                      	1.1.1	git+https://github.com/apache/teaclave-sgx-sdk.git?rev=v1.1.1#5cef8f0d65d43bf6a6a2b0a1018b5a8c2651bea3
187 	toml                          	0.5.3	git+https://github.com/mesalock-linux/toml-rs-sgx#a6a559ec758c2d4bf3235aaece265b10300ccbcc
188 	twofish                       	0.2.0	git+https://github.com/mesalock-linux/rustcrypto-block-ciphers-sgx#5ec475fa4d8598baabc97ea28f47b9b8cb16e049
6   	block-cipher-trait            	0.6.2	git+https://github.com/mesalock-linux/rustcrypto-traits-sgx#71e214d9b8d6fe41f1f549374b5ba561d60b82a3
190 	ucd-util                      	0.1.7	git+https://github.com/mesalock-linux/ucd-generate-sgx#9217cbe171be6322031ba9c5f7c0d0fefd76e4e2
194 	universal-hash                	0.2.0	git+https://github.com/mesalock-linux/rustcrypto-traits-sgx#71e214d9b8d6fe41f1f549374b5ba561d60b82a3
60  	subtle                        	2.2.2	git+https://github.com/mesalock-linux/subtle-sgx#e9eb9716430573cca6163a55f5da32a28edeb505
195 	url                           	2.1.1	git+https://github.com/mesalock-linux/rust-url-sgx#e5023e8b3a8cce84fc8ed27e072497cc0e2af1c2
98  	idna                          	0.2.0	git+https://github.com/mesalock-linux/rust-url-sgx#e5023e8b3a8cce84fc8ed27e072497cc0e2af1c2
192 	unicode-bidi                  	0.3.4	git+https://github.com/mesalock-linux/unicode-bidi-sgx#5cf89d99819f44446ca50176cd3767c4b94a65c8
68  	matches                       	0.1.8	git+https://github.com/mesalock-linux/rust-std-candidates-sgx#5747bcf37f3e18687758838da0339ff0f2c83924
193 	unicode-normalization         	0.1.12	git+https://github.com/mesalock-linux/unicode-normalization-sgx#d3872b6dbf4024a1ec36539e1eb453eff58604ff
174 	smallvec                      	1.1.0	git+https://github.com/mesalock-linux/rust-smallvec-sgx#16a45c8865b5f83a7d605678da18ee5d431d190c
138 	percent-encoding              	2.1.0	git+https://github.com/mesalock-linux/rust-url-sgx#e5023e8b3a8cce84fc8ed27e072497cc0e2af1c2
196 	utf8-ranges                   	1.0.4	git+https://github.com/mesalock-linux/utf8-ranges-sgx#b1ba4382f9b7df82405b5c6ec3b79f1265d41328
197 	uuid                          	0.8.1	git+https://github.com/mesalock-linux/uuid-sgx#438b85c57b5d540b481d38e943ba525189235d9d
124 	md5                           	0.7.0	git+https://github.com/mesalock-linux/md5-sgx#9846b3d1cef4c03e0e0f312a11f728f369264626
145 	rand                          	0.7.3	git+https://github.com/mesalock-linux/rand-sgx?tag=v0.6.5_sgx1.1.0#d048899f1be34571177e9da643c17911b0550603
84  	getrandom                     	0.1.14	git+https://github.com/mesalock-linux/getrandom-sgx#80ccc66d84eea22f98a101002d5ed817879f8a65
47  	cfg-if                        	0.1.10	git+https://github.com/mesalock-linux/cfg-if-for-sysroot#9aea09f448fa12ab508c3c77c87fdf7431a9d304
240 	rand_chacha                   	0.2.1	git+https://github.com/mesalock-linux/rand-sgx?tag=v0.6.5_sgx1.1.0#d048899f1be34571177e9da643c17911b0550603
42  	c2-chacha                     	0.2.3	git+https://github.com/mesalock-linux/cryptocorrosion-sgx#7c8ed8d1646c693b58870281ec0b74fc0a3014f0
32  	ppv-lite86                    	0.2.6	git+https://github.com/mesalock-linux/cryptocorrosion-sgx#7c8ed8d1646c693b58870281ec0b74fc0a3014f0
